"sp","var","rndm","2.5%","95%","Estimate","legend"
"0","force",1,-13.1086294697737,-6.91579355566873,-9.99527361707087,"Overall Effects"
"0","photo",1,-10.6238827117875,-6.8067034885814,-8.69992953866883,"Overall Effects"
"0","chill1",1,-4.26033651123009,-0.138257694263582,-2.1795906825378,"Overall Effects"
"0","chill2",1,-5.38048044842648,-0.924314344085492,-3.1350591318975,"Overall Effects"
"0","force:photo",1,2.48748995940126,6.85421998642557,4.68583305231319,"Overall Effects"
"0","force:chill1",1,-1.29705268336284,3.77580921269119,1.22859071534463,"Overall Effects"
"0","force:chill2",1,-0.489037073074653,4.95918237183966,2.20840949095814,"Overall Effects"
"0","photo:chill1",1,-0.554435721087503,4.20915973495413,1.82925192693185,"Overall Effects"
"0","photo:chill2",1,1.2046088961251,6.52246903734984,3.86329196661469,"Overall Effects"
"1","force",2,-18.5889529019134,-11.0304619170308,-14.6441890386088,"1"
"1","photo",2,-11.0502861386033,-7.60748281300476,-9.01117847520995,"1"
"1","chill1",2,-3.84714651558559,0.18035632881615,-2.00733728945602,"1"
"1","chill2",2,-5.94313426419134,-1.91809466736972,-3.52144398692582,"1"
"1","force:photo",2,1.84264739806597,6.53944287440484,4.43027150835332,"1"
"1","force:chill1",2,-1.09383330666117,3.92016680566776,1.31100997216838,"1"
"1","force:chill2",2,-3.26073750633806,3.17342814940522,0.93820840917799,"1"
"1","photo:chill1",2,0.0362239003243399,4.7615708389494,2.08783030669517,"1"
"1","photo:chill2",2,-0.50436797956187,4.98193918251248,3.00139826836715,"1"
"2","force",2,-15.3313498554019,-7.75777891449478,-11.3393351381208,"2"
"2","photo",2,-9.88096568384324,-6.46638697924705,-8.46457553381151,"2"
"2","chill1",2,-3.92754844030714,0.08821799380341,-2.06868829794793,"2"
"2","chill2",2,-4.7028227497805,-0.8950979143446,-2.94360085634182,"2"
"2","force:photo",2,1.9080138132856,6.6130049790302,4.48530963923515,"2"
"2","force:chill1",2,-0.22877861988528,5.20898058862182,1.85023547185175,"2"
"2","force:chill2",2,0.50969988606881,6.81114676893249,3.03305531228464,"2"
"2","photo:chill1",2,-0.16526395041621,4.75649151637515,2.07266223558999,"2"
"2","photo:chill2",2,0.42663251014769,5.96207123446813,3.50722329559053,"2"
"3","force",2,-9.69247741170534,-1.13318204428733,-5.71424648949754,"3"
"3","photo",2,-10.3516961953525,-6.92650189931865,-8.67366897206406,"3"
"3","chill1",2,-5.50914099719544,-0.86298939832592,-2.63331666886553,"3"
"3","chill2",2,-5.10551121842783,-1.07776839017969,-3.09919438810613,"3"
"3","force:photo",2,1.71447770915324,6.82617342174649,4.48933675148499,"3"
"3","force:chill1",2,-3.06883808717107,2.84901587327136,0.584840765145067,"3"
"3","force:chill2",2,-1.70991005563468,4.75323106918896,1.9042713779255,"3"
"3","photo:chill1",2,-0.76774831424923,4.33867254557625,1.80367045227549,"3"
"3","photo:chill2",2,2.24678055697501,8.27518212050128,4.54655825249501,"3"
"4","force",2,-13.3981875819777,-6.13694711829067,-9.79593358212464,"4"
"4","photo",2,-10.1375756479435,-6.89864472242449,-8.60676781834082,"4"
"4","chill1",2,-2.94880547749089,1.37795612813011,-1.46667047003785,"4"
"4","chill2",2,-4.22457184513483,-0.29513309680259,-2.72418317316366,"4"
"4","force:photo",2,3.78676414734076,9.0226412007048,5.58689974229166,"4"
"4","force:chill1",2,0.00235721589249005,5.5190282460173,2.01535592486431,"4"
"4","force:chill2",2,-0.32865096081305,5.39380958415205,2.36884861935364,"4"
"4","photo:chill1",2,0.40611085663616,5.06763877294141,2.31773260766279,"4"
"4","photo:chill2",2,2.76501110083151,8.29927168288406,4.7865095702101,"4"
"5","force",2,-13.4735190763355,-6.36825149415574,-9.90615485869263,"5"
"5","photo",2,-10.466475162662,-7.23016536468772,-8.7645341629308,"5"
"5","chill1",2,-3.70387978049908,0.12408652760827,-1.99996900010648,"5"
"5","chill2",2,-5.1010350216574,-1.41162788273681,-3.20976372723981,"5"
"5","force:photo",2,2.74928664896373,7.52353975882028,4.87420183804272,"5"
"5","force:chill1",2,-0.60526445656308,4.4893244501018,1.59338358424857,"5"
"5","force:chill2",2,0.13532803469892,6.09726034869908,2.73409559045968,"5"
"5","photo:chill1",2,-1.61626160986964,3.15036663747543,1.30601643509489,"5"
"5","photo:chill2",2,1.31060826993127,6.46294535904124,3.85224356286885,"5"
"6","force",2,-12.4783658936462,-3.63329893666915,-8.22597021611773,"6"
"6","photo",2,-9.95370454110116,-6.17835759475112,-8.42871253930927,"6"
"6","chill1",2,-5.1791771286794,-0.65150079093834,-2.54502423477938,"6"
"6","chill2",2,-4.95458603455058,-0.73931130379682,-3.02795783524652,"6"
"6","force:photo",2,2.29236852974511,7.42367305868799,4.78510566881878,"6"
"6","force:chill1",2,-2.13445333257447,3.85856035722768,1.0834384675347,"6"
"6","force:chill2",2,-1.40181325539279,5.5592503748982,2.13338621981481,"6"
"6","photo:chill1",2,-1.39176977312931,3.58142000886708,1.4673639343281,"6"
"6","photo:chill2",2,1.19291301140712,6.86717581746375,3.92014976037484,"6"
"7","force",2,-13.2345733687127,-6.18346572251631,-9.76847648800942,"7"
"7","photo",2,-10.5676178093899,-7.24921741224488,-8.7885599353405,"7"
"7","chill1",2,-4.15399335033555,-0.27957216715137,-2.22745395980263,"7"
"7","chill2",2,-4.75905003137804,-1.03018213100978,-3.01868759803734,"7"
"7","force:photo",2,2.42764308876371,7.00256241308372,4.6882620548087,"7"
"7","force:chill1",2,-1.76513909293747,3.46846623649356,1.01790195095156,"7"
"7","force:chill2",2,-0.0055322530379498,6.22094075083753,2.6841708366677,"7"
"7","photo:chill1",2,-1.50807879211754,3.16925484359719,1.30706646712615,"7"
"7","photo:chill2",2,1.48025433226111,6.82084033713267,3.98810900380543,"7"
"8","force",2,-16.5577207022438,-9.07680037080514,-12.6527284780372,"8"
"8","photo",2,-11.3181321657741,-7.74911224850083,-9.10418904516512,"8"
"8","chill1",2,-5.16284663353118,-1.06666502318096,-2.67612532025858,"8"
"8","chill2",2,-6.1765267412127,-2.10360341319408,-3.58724940290528,"8"
"8","force:photo",2,2.18736845059524,6.78517358836403,4.58053938153386,"8"
"8","force:chill1",2,-2.04807688521519,3.19016858366459,0.904019877451421,"8"
"8","force:chill2",2,-1.8892895659214,4.21911244501028,1.64118739249073,"8"
"8","photo:chill1",2,-1.00198216290042,3.58972244739538,1.57355072963187,"8"
"8","photo:chill2",2,-0.31902469355244,5.43353128028247,3.18778495243476,"8"
"9","force",2,-11.2503669133886,-3.84120496449246,-7.74743068332041,"9"
"9","photo",2,-9.81275591034748,-6.35245148475226,-8.40404447900938,"9"
"9","chill1",2,-3.82068318331609,0.1877358571881,-2.01502405978845,"9"
"9","chill2",2,-4.98623770968164,-1.07358978427262,-3.06052775306941,"9"
"9","force:photo",2,1.36087205735884,6.14696415567565,4.22779350236311,"9"
"9","force:chill1",2,-2.51954217950179,3.11860918708185,0.7820928419434,"9"
"9","force:chill2",2,-0.39201841644157,5.22315619330657,2.33195814528245,"9"
"9","photo:chill1",2,0.49285357522419,5.34240215965212,2.38712344296745,"9"
"9","photo:chill2",2,1.23037116388199,6.48514562988749,3.92509858069874,"9"
